Feature,Importance,Std,Index,Importance_Normalized,Segment
Tamaño,3525.4402331034344,51.636544742247594,10,0.8002615883952763,2_Recursos
Complejidad,535.2137682596842,8.12692101796136,0,0.12149149950032631,2_Recursos
Claridad_Req,185.61417719523112,4.128504603796283,9,0.04213371563533179,2_Recursos
Exp_Equipo,89.83902206420899,1.8676014327399584,8,0.02039311794932727,2_Recursos
Exp_R1,32.987911732991535,0.7961051991216179,3,0.007488131097331936,2_Recursos
Exp_R2,30.18106689453125,0.650260507893256,5,0.006850987943488713,2_Recursos
Fase_2,1.1098355611165365,0.10412273532342806,20,0.00025192847141669984,2_Recursos
Fase_0,0.9184712727864583,0.12606669429716605,18,0.00020848950231911568,2_Recursos
Fase_1,0.8571849822998047,0.1235345318155565,19,0.000194577746359909,2_Recursos
Fase_3,0.7059651692708333,0.0886772340299242,21,0.00016025142120054816,2_Recursos
Fase_4,0.7033500671386719,0.13926154442317487,22,0.00015965780291524905,2_Recursos
Tipo_1,0.32515907287597656,0.06986506852870625,12,7.380987874861809e-05,2_Recursos
Tipo_3,0.3160733540852865,0.0893800004399251,14,7.174745497445305e-05,2_Recursos
Tipo_0,0.29976221720377605,0.059369548274537776,11,6.804488864337116e-05,2_Recursos
Tipo_4,0.29828275044759117,0.028798696891559426,15,6.770905528980434e-05,2_Recursos
Tipo_6,0.28205782572428384,0.057744223379410355,17,6.402605879230371e-05,2_Recursos
Tipo_2,0.15692888895670573,0.0354036700197712,13,3.562226378492535e-05,2_Recursos
Tipo_5,0.11135597229003906,0.04444286589417331,16,2.527738420449134e-05,2_Recursos
Carga_R1,0.023086039225260417,0.03903942685537677,2,5.2404435187089195e-06,2_Recursos
Cantidad_Recursos,0.0,0.0,1,0.0,2_Recursos
Carga_R2,-0.023889795939127604,0.06932540975746955,4,-5.422893250371652e-06,2_Recursos
