Feature,Importance,Std,Index,Importance_Normalized,Segment
Tamaño,620.8531061808268,42.15132146246007,10,0.3057733564304344,3_Recursos
Complejidad,373.5917332967122,37.08241009874436,0,0.18399585519916525,3_Recursos
Claridad_Req,183.98672637939453,21.085470220762943,9,0.09061441153084913,3_Recursos
Exp_R2,150.50048065185547,13.450574090981606,5,0.07412226282702726,3_Recursos
Exp_R1,133.3829778035482,17.970807951599326,3,0.06569180440211606,3_Recursos
Exp_R3,129.75448862711588,21.89237914921618,7,0.06390475477120697,3_Recursos
Carga_R3,86.62218983968098,13.410690218005923,6,0.042661875192292455,3_Recursos
Carga_R1,86.13970896402995,11.758085963637868,2,0.04242425087296056,3_Recursos
Carga_R2,81.76998596191406,10.691739627122399,4,0.04027213976048255,3_Recursos
Exp_Equipo,36.456478881835935,4.947009596700153,8,0.01795500384931227,3_Recursos
Fase_2,24.15727996826172,3.1253718488847726,20,0.011897584959450428,3_Recursos
Fase_1,20.909662373860677,3.771124240371112,19,0.01029811654678324,3_Recursos
Fase_3,19.635172780354818,3.584143467567316,21,0.009670423849650398,3_Recursos
Fase_0,17.220348612467447,1.7069215547203505,18,0.008481110494118609,3_Recursos
Fase_4,15.962865193684896,3.586090135586289,22,0.007861793425735016,3_Recursos
Tipo_1,11.473555755615234,2.366694098984705,12,0.005650785376862375,3_Recursos
Tipo_5,11.03070297241211,2.0955613304886223,16,0.005432678097416568,3_Recursos
Tipo_2,6.345974985758463,1.4640562808357342,13,0.003125425405625309,3_Recursos
Tipo_6,6.0577448527018225,1.7322631461143534,17,0.002983470578739977,3_Recursos
Tipo_4,5.761055501302083,1.1123028384556857,15,0.002837349543197885,3_Recursos
Tipo_3,4.747780609130859,2.2033432957762553,14,0.0023383064335131907,3_Recursos
Tipo_0,4.075572458902995,1.6374798413810563,11,0.0020072404530601553,3_Recursos
Cantidad_Recursos,0.0,0.0,1,0.0,3_Recursos
