Feature,Importance,Importance_Std,CV,P_Value,Is_Significant,MSE_Delta,MAE_Delta,R2_Delta,MAPE_Delta,Integrated_Importance,Importance_Normalized
Tamaño_Tarea,3483.5300113677977,32.05860692398248,0.009202908205000583,1.0,False,3483.5300113677977,40.1662118434906,1.458822989463806,31.91334011985584,,0.7887357693814597
Complejidad,528.9715702056885,4.058952419052238,0.007673290300788623,1.0,False,528.9715702056885,15.328032636642456,0.22152124643325805,13.784068345645519,,0.11976896913349194
Claridad_Requisitos,185.82374153137206,1.7131840380819627,0.009219403419410382,1.0,False,185.82374153137206,7.88403811454773,0.07781876921653748,7.089528904790292,,0.042073939730044016
Experiencia_Equipo,89.76429100036621,0.8677385912465382,0.009666857294544865,1.0,False,89.76429100036621,4.7491066455841064,0.03759125471115112,4.315322073470051,,0.02032429945891454
Experiencia_R1,52.894321060180665,0.6133254797667217,0.011595299220665085,1.0,False,52.894321060180665,2.852380323410034,0.022150951623916625,2.59666885133588,,0.011976254799346612
Experiencia_R2,41.251839828491214,0.559132498952138,0.013554122707660777,1.0,False,41.251839828491214,2.5459404468536375,0.017275351285934448,2.378518708069983,,0.009340181229772234
Experiencia_R3,25.631575775146484,0.31191424034932036,0.012169140246608102,1.0,False,25.631575775146484,1.6980514526367188,0.010733938217163086,1.5712380216574071,,0.005803463892516138
Cantidad_Recursos,7.806316757202149,0.2342806778418374,0.030011679660025173,1.0,False,7.806316757202149,0.4591341972351074,0.0032691240310668947,0.40917359612712473,,0.0017674948208956705
Carga_Trabajo_R3,0.9276065826416016,0.027551690006195485,0.029701912989594,1.0,False,0.9276065826416016,0.091009521484375,0.00038847923278808596,0.08014379109628807,,0.00021002732551623845
Tipo_Tarea,0.8336782455444336,0.08798212077294933,0.10553486461133768,1.0,False,0.8336782455444336,0.04310376644134521,0.00034914016723632815,0.03434802037769909,,0.00018876020883135396
Fase_Tarea,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,,0.0
Carga_Trabajo_R1,-0.005643463134765625,0.02690634858660277,4.767701665463293,1.0,False,-0.005643463134765625,-0.000644850730895996,-2.3484230041503905e-06,0.001300839436920942,,-1.2777846675784829e-06
Carga_Trabajo_R2,-0.8298004150390625,0.08898121677935707,0.10723207070843452,1.0,False,-0.8298004150390625,-0.08690476417541504,-0.0003474831581115723,-0.018056356316300582,,-0.00018788219612091264
