Feature,Importance,Importance_Normalized
Tamaño,1470.235631942749,1.0
Complejidad,183.66298484802246,0.12492078198739663
Exp_R1,25.555654525756836,0.017382012767564303
Exp_R2,19.25509262084961,0.01309660315837006
Exp_Equipo,17.6343936920166,0.011994263578495073
Claridad_Req,7.845497131347656,0.005336217515678575
Fase_1,6.669989585876465,0.00453668067958796
Fase_4,6.434113502502441,0.004376246475539769
Fase_0,5.694618225097656,0.00387326908787598
Fase_2,5.648654937744141,0.003842006556649757
Fase_3,5.565258979797363,0.0037852837047919366
Exp_R3,4.786980628967285,0.003255927502343169
Cantidad_Recursos,4.569588661193848,0.0031080655113464068
Carga_R2,1.6796436309814453,0.0011424315902084264
Carga_R3,0.5549955368041992,0.000377487475304102
Tipo_4,0.026361465454101562,1.79300956128154e-05
Tipo_1,0.009425163269042969,6.410648105833681e-06
Tipo_2,0.0029850006103515625,2.030287217571529e-06
Tipo_0,0.0,0.0
Tipo_5,-0.0025768280029296875,-1.7526632785553582e-06
Carga_R1,-0.009611129760742188,-6.53713564814245e-06
Tipo_3,-0.020333290100097656,-1.3829953279821908e-05
Tipo_6,-0.02337932586669922,-1.5901754357433238e-05
