Feature,Importance,Importance_Normalized
Tamaño_Tarea,1478.8189420700073,0.8424189038201684
Complejidad,179.3346586227417,0.10215916380031212
Experiencia_R1,26.898917198181152,0.015323144500923296
Fase_Tarea,21.95454692840576,0.012506551567027787
Experiencia_Equipo,16.45750141143799,0.00937512355585322
Experiencia_R2,15.137858390808105,0.008623380259059328
Claridad_Requisitos,8.84011173248291,0.00503582759421641
Experiencia_R3,4.185284614562988,0.002384174814693886
Cantidad_Recursos,2.1238861083984375,0.0012098856434523504
Carga_Trabajo_R2,1.2328119277954102,0.0007022793955939694
Tipo_Tarea,0.26136112213134766,0.0001488860764110201
Carga_Trabajo_R3,0.1316204071044922,7.497842766209412e-05
Carga_Trabajo_R1,0.06618118286132812,3.7700544626187805e-05
