Feature,Importance,Importance_Normalized
Tamaño_Tarea,1375.4610075950623,0.859111167785472
Complejidad,164.82750844955444,0.10295104876499359
Fase_Tarea,24.4024977684021,0.015241768569906469
Experiencia_Equipo,13.119988918304443,0.008194728122932975
Claridad_Requisitos,7.348998546600342,0.004590174994827837
Experiencia_R2,5.783275127410889,0.003612226170643559
Experiencia_R1,5.681483745574951,0.003548647405097546
Experiencia_R3,3.6957783699035645,0.002308378393652646
Tipo_Tarea,0.45467329025268555,0.0002839883495009588
Carga_Trabajo_R1,0.19428348541259766,0.00012134921390907751
Carga_Trabajo_R2,0.03683757781982422,2.3008703499717442e-05
Carga_Trabajo_R3,0.02163553237915039,1.3513525563630096e-05
Cantidad_Recursos,0.0,0.0
